P. S извиняюсь за место фото)",2019-12-26 09:27:00,"['VK-1603736028819866', 'VK-10925451700', 'VK-26499386090']"
"Новый боевой таз. Был в наличии только смоляной кузов пикап. Отдельно докупал детали. Салон кастом. Чтож, на этот раз колеса в арках, есть расширение так что оцениваем",2019-12-24 15:05:57,"['VK-1603736028819866', 'VK-62365061197', 'VK-91292631967']"
"Всем дратути)
Народ,как думаете,стоит ли делать такое крыло (в газетах)? Отпишите в коммы,пожалуйста,нужен совет)
Фота для примера:",2019-12-21 22:32:12,"['VK-1603736028819866', 'VK-83173127041', 'VK-38797155901']"
"Всем привет👋.У меня есть вопрос ,какой стиль лучше для неё сделать реста или стенс . Модели 2года она до сих пор в стоке ,нужно что-то менять.",2019-12-08 15:30:00,"['VK-1603736028819866', 'VK-68211854223', 'VK-49536229743']"
"Здарова,народ!)
Хочу представить Вам мою первую модель-ВАЗ-2107)
Делал я ее долго,с усовершенствованиями и доработками.
Знаю,косяки есть,но они активно исправляются)
Зад,кстати,с черным прокрасом как на раннем М-2140,я знаю,что так делают в основном на 2106,но видел я как-то 05 с такой штукой)
Так что не судите строго,я старался)
Если есть конструктивная критика,пишите в комменты,будет интересно почитать)
Если что,на фото с бернаутом в водительском стекле отражение,это не суперклей)",2019-11-21 18:46:10,"['VK-1603736028819866', 'VK-50385308826', 'VK-58935270154']"
"Всем привет, ребят✋! Наконец-то доделал свою первую БК! Не без косяков конечно, но всё же думаю что для первого раза получилось отлично. К зиме готов так сказать 💪😎.
Оцените пожалуйста от 1 до  10👇👇👇",2019-11-12 21:10:52,"['VK-1603736028819866', 'VK-31847372306', 'VK-32126024333']"
"Вот таким получился закос таврии под АЕ 86. Добавил утиный хвост, маленькие фендеры и губу переднего бампера, заменил выхлопную трубу. Боковой молдинг выявил мой нервный треммор, поэтому получилос кривовато. Правое зеркало сперли цыгане, да.",2019-11-03 00:06:50,"['VK-1603736028819866', 'VK-15913314151', 'VK-36357962703']"
"Привет всем! Хочу показать свои Жиги из бумаги в масштабе 1:25. Четверка в обвесе DFTZ и встиле киберпанк, Пятерка тоже в обвесе DFTZ в шуточной ливрее пародии на Тойоту Никиты Шикова, #pushthelimit",2019-10-13 18:11:36,"['VK-1603736028819866', 'VK-63916535562', 'VK-92173485600']"
"Начало положено) Хочу осуществить старый проект, Ваз 2101 с двигателем от BMW😄 Думаю некоторые еще помнят мой старый проект, с темно синей копейкой)",2019-10-04 17:33:22,"['VK-1603736028819866', 'VK-40609574360', 'VK-33298727496']"
"Решил сегодня сделать пару фотографий и вот что получилось.